Tanggal,Judul,Pengarang,Abstrak
01/02/2012,Analisis pengaruh budaya organisasi terhadap tingkat kematangan keselarasan strategi teknologi informasi dan bisnis: studi kasus PT. Taspen (PERSERO),Gayuh Prima Pikarti,"Minimnya keselarasan antara strategi bisnis dengan TI/keselarasan strategis diyakini menjadi penyebab utama mengapa beberapa investasi TI yang dilakukan gagal memberikan nilai bisnis yang sebanding. Diantara sejumlah faktor yang mempengaruhi kematangan keselarasan strategis, budaya organisasi merupakan salah satu faktor yang jarang dipelajari pada literatur sebelumnya. Untuk itu, penelitian ini berfokus untuk menentukan dominasi dimensi kultural dengan menggunakan framework GLOBE, mengetahui perspektif keselarasan strategis berdasarkan teori Henderson dan Venkatraman, mengukur tingkat kematangan keselarasan strategis berdasarkan framework SAMM yang diajukan oleh Luftman serta mengidentifikasi pengaruh budaya organisasi terhadap kematangan keselarasan strategis. Bertempat di PT. Taspen (Persero), penelitian ini dilakukan dengan menggunakan metode focus group discussion yang didukung dengan studi dokumen dan observasi. Penelitian ini menyimpulkan bahwa perusahaan tersebut didominasi oleh kultur humane orientation dan memiliki tingkat kematangan keselarasan strategis sebesar 3.50 dari skala 5.00. Selain itu juga ditemukan bahwa budaya organisasi memberikan pengaruh yang bervariasi terhadap kematangan keselarasan strategis perusahaan tersebut."
01/02/2012,Deteksi dan pengenalan wajah jamak untuk studi awal sistem presensi otomatis,Mira Roderica,"Sistem presensi yang umumnya digunakan saat ini masih berupa kertas berisi daftar nama yang diedarkan ke seluruh peserta pertemuan. Pengedaran daftar kehadiran seperti itu membuka peluang terjadinya ketidaksesuaian yang disebabkan faktor kelalaian maupun kecurangan. Untuk mencari solusi untuk hal tersebut, penulis pun melakukan penelitian untuk mencari cara mendigitalisasi dan mengotomasi sistem presensi sehingga tidak perlu lagi mengedarkan daftar hadir ke seluruh peserta. Pendekatan yang penulis lakukan adalah deteksi dengan menggunakan deteksi objek Haar dan pengenalan dengan eigenfaces yang dipilih karena kemudahan implementasinya dan kecepatan komputasinya. Setelah dilakukan eksperimen, tampak bahwa pendekatan ini menghasilkan akurasi yang cukup baik pada beberapa kasus dan akurasi yang rendah pada kasus lain. Dari hasil penelitian penulis juga tampak bahwa ukuran citra latihan yang besar juga menimbulkan kecenderungan akurasi yang lebih buruk. Eksperimen menggunakan implementasi scale-invariant feature transform juga dilakukan untuk mengatasi masalah perubahan skala meskipun belum dapat memberikan hasil yang cukup baik."
01/02/2012,Strategi manajemen perubahan untuk mendukung implementasi knowledge management system (KMS): studi kasus PT. Indonesia Telemedia (Telkomvision),Irene Sherlyta Gloria,"Knowledge Management System (KMS) pada masa sekarang ini sudah menjadi kebutuhan penting bagi perusahaan. KMS membantu perusahaan dalam menyimpan pengetahuan yang dimiliki oleh karyawan-karyawannya untuk menghadapi turnover karyawan, memberikan competitive advantage, dan meningkatkan efektivitas kegiatan operasional dalam perusahaan. Akan tetapi, ketika melakukan implementasi KMS diperlukan sebuah strategi manajemen perubahan untuk mempersiapkan sumber daya perusahaan hingga mencapai keberhasilan dalam proses perubahan tersebut. Kesiapan sumber daya tersebut terutama terkait dengan pengguna dari KMS tersebut, yaitu karyawan. Terkait hal tersebut, penelitian dilakukan untuk membuat strategi manajemen perubahan untuk mendukung implementasi KMS yang dilakukan di TelkomVision. Penelitian ini menggunakan kerangka kerja system thinking, Lewins Three Step Model untuk pemetaan terhadap tahap-tahap perubahan, dan AHP untuk prioritisasi. Pengumpulan data-data dilakukan melalui proses wawancara dan penyebaran kuisioner kepada sejumlah 71 karyawan TelkomVision dimana kuisioner tersebut menggunakan konsep penerimaan teknologi untuk melihat resistensi karyawan terhadap KMS. Strategi manajemen perubahan yang dihasilkan merupakan hasil analisa kesenjangan antara keadaan perusahaan saat ini dan keadaan eksternal perusahaan di masa mendatang. Penelitian ini menghasilkan 12 strategi manajemen perubahan yang terbagi ke dalam tiga tahap dalam Lewins Three Step Model dan sudah terprioritisasi. Terkait dengan penerimaan terhadap teknologi, sejumlah 71 karyawan yang menjadi sampel dalam penelitian ini menyatakan kesetujuan untuk menggunakan KMS yang merupakan kekuatan perusahaan untuk mencapai keberhasilan dalam mengimplementasi KMS."
01/02/2012,Analisis tingkat kematangan human-centeredness dalam system development: studi kasus Pusat Ilmu Komputer Universitas Indonesia,Elvira Novellia Chrisanty,"Banyak fakta dari berbagai penelitian yang mengemukakan bahwa pengembangan perangkat lunak cenderung hanya memperhatikan aspek fungsionalitas dan kurang memperhatikan human-centeredness. Padahal, human-centeredness berkaitan dengan produktiftas end-user dan berpengaruh terhadap keberhasilan pengembangan sistem serta kesuksesan bisnis. Penelitian ini merupakan penelitian bertipe studi kasus yang dilakukan di Pusat Ilmu Komputer Universitas Indonesia (Pusilkom UI) untuk mengukur tingkat kematangan human centeredness Pusilkom UI dengan menggunakan skala kematangan Usability Maturity Model (UMM): Human-Centeredness Scale. Selain itu penelitian ini juga menginvestigasi gambaran kesadaran para praktisi pengembang perangkat lunak mengenai HCI, isu dan kendala yang dihadapi praktisi tersebut dalam penerapan HCI, dan interaksi yang dilakukan praktisi pengembang perangkat lunak dengan praktisi HCI. Hasil penelitian ini menunjukkan bahwa Pusilkom UI sudah mulai memasuki tingkat kematangan pada Level E: Institutionalized. Pada penelitian ini ditemukan bahwa para praktisi pengembang perangkat lunak di Pusilkom UI memiliki kesadaran yang tinggi terhadap HCI dan melakukan frekuensi interaksi yang sering dengan praktisi HCI. Sedangkan isu dan kendala yang paling banyak dihadapi oleh para pengembang perangkat lunak adalah kesulitan dalam memahami keinginan user dan kurangnya pengetahuan mengenai HCI."
01/02/2017,Pengembangan sistem named entity recognition bahasa Indonesia menggunakan Long Short Term Memory,Putu Wira Astika Dharma,"ABSTRAK Nama : Putu Wira Astika Dharma Program Studi : Ilmu Komputer Judul : Pengembangan Sistem Named Entity Recognition Bahasa Indonesia menggunakan Long Short-Term Memory Named Entity Recognition atau disingkat NER adalah salah satu bidang riset Information Extraction (IE). Manfaat dari Named Entity Recognition banyak dirasakan dalam beberapa penelitian IE dan Pengolahan Bahasa Manusia, beberapa diantaranya terkait dengan penelitian machine translation, question answering, semantic web, dan lain-lain. Penelitian kali ini mencoba untuk meningkatkan performa mesin Named Entity Recognition yang dapat mengenali entitas Person, Location, dan Organisation. Permasalahan ini dapat dipandang sebagai permasalahan sequence labelling. Pada penelitian ini diusulkan penggunaan teknik Deep Learning dengan menggunakan Recurrent Neural Networks (RNNs). RNNs sendiri adalah state-of-the-art untuk permasalahan sequence labelling. Salah satu variasi RNNs yang digunakan pada penelitian ini adalah Long Short-Term Memory (LSTM). Fitur yang diusulkan adalah word embedding kata itu sendiri, kata sebelum, kata sesudah, dan fitur POS-Tag. Terdapat tiga model yang diusulkan pada penelitian ini yaitu LSTM 1 layer, LSTM 2 layer, dan Bidirectional LSTM. Penelitian ini menunjukkan bahwa penggunaan RNNs khususnya LSTM terbukti memberikan kenaikan performa dibandingkan dengan penelitian sebelumnya yang menggunakan CRF, dengan rata-rata F-Measure mencapai 57.31%. Kata Kunci: Named Entity Recognition, NER, Wikipedia, DBPedia, Recurrent Neural Networks, Long Short-Term Memory, LSTM, Deep Learning"
01/03/2012,Steganografi citra berbasis transformasi wavelet dengan metode lifting,Sely Haudy,"Skripsi ini berisikan laporan penelitian dalam bidang steganografi yang dilakukan dengan citra dijital sebagai carrier-nya. Format citra dijital yang dipakai adalah format PNG. Proses steganografi dilakukan dengan menyisipkan bit-bit berkas dijital rahasia pada koefisien wavelet hasil dekomposisi carrier. Berkas dijital rahasia yang disisipkan bisa berupa berkas dijital apapun, termasuk audio, video, teks, dan binary executable. Transformasi wavelet dilakukan dengan menggunakan metode lifting dalam bilangan bulat. Basis-basis wavelet yang digunakan adalah wavelet Haar dan wavelet CDF31 (Cohen Daubechies Feauveau 3.1). Implementasi dan pengujian dilakukan dengan membuat sebuah program yang user friendly yang dibuat dalam bahasa Java dengan bantuan IDE NetBeans 7.0. Kualitas dari citra hasil steganografi ditentukan berdasarkan nilai PSNR (Peak Signal to Noise Ratio) dari citra tersebut. Pada tahap uji coba ditemukan bahwa pemotongan nilai sinyal yang dilakukan sebelum tahap dekomposisi memberikan hasil yang lebih baik dibandingkan melakukan penskalaan nilai sinyal masukan, walaupun dengan melakukan penskalaan, banyak fitur dari citra yang dapat dipertahankan. Hasil uji kualitas dan uji kapasitas menunjukkan bahwa citra dengan nilai komponen warna yang berada ditengah range memiliki kapasitas dan kualitas citra steganografi yang tertinggi. Eksperimen juga menunjukkan penggunaan wavelet Haar cenderung lebih baik dalam hal kualitas maupun kapasitas dibandingkan wavelet CDF31 walaupun tidak signifikan. Kapasitas penyisipan terbaik yang didapatkan adalah 46.67% dari ukuran carrier dengan nilai PSNR masih diatas 34db. Dalam penelitian ini juga ditemukan bahwa penggunaan nilai PSNR tidak selalu tepat untuk merepresentasikan tingkat kemiripan dari dua citra."
01/08/2007,Perbandingan metode evaluasi kurvatur dalam menentukan bentuk permukaan bidang pada model faset 3D/ Priadhana Edi Kresnha,Priandhana Edi Kresnha,"Penelitian mengenai perbandingan metode estimasi dan evaluasi kurvatur ini dilandasi oleh pembuatan sistem CAM yang saat ini sedang dikembangkan. Dalam sistem tersebut, perlu dilakukan optimalisasi lintasan pahat sesuai dengan bentuk permukaan bidang dari model faset yang menjadi inputnya. Bentuk permukaan bidang, secara umum terbagi menjadi bentuk cembung (convex), cekung (concave), datar (flat), dan sadel. Untuk menentukan bentuk permukaan tersebut, diperlukan sebuah metode perhitungan kurvatur. Dalam penelitian ini, dilakukan perbandingan antara tiga buah metode perhitungan kurvatur, yaitu Spherical Image, Gauss-Bonnet scheme, dan Paraboloid Fitting. Model yang menjadi objek penelitian ini adalah model faset 3D, yaitu sebuah model yang tersusun atas segitiga-segitiga dalam membentuk sebuah permukaan bidang. Penelitian ini akan menghasilkan informasi mengenai metode yang paling sesuai untuk diimplementasikan dalam sistem CAM berdasarkan analisis terhadap masing-masing metode."
01/08/2007,Implementasi algoritma klasifikasi CMAR sebagai bagian dari data mining algorithm collection/ Ranni Kusumawardhani,Ranni Kusumawardhani,"Perkembangan teknologi basis data, khususnya data mining saat ini sangat pesat. Oleh karena itu, dibutuhkan suatu sarana untuk dapat mempelajari dan membandingkan metode-metode yang terdapat di dalam data mining. University of Waikato telah memi- liki data mining tools yang disebut sebagai WEKA yang berisi koleksi berbagai algoritma di dalam data mining. Akan tetapi, WEKA tidak memiliki algoritma klasikasi data mining yang telah dikenal secara umum. Fokus utama dari bagian ini adalah pengembangan algoritma teknik classication pada data mining. Laporan Tugas Akhir ini akan membahas hasil analisis dua algoritma teknik classication data mining yang merupakan bagian dari data mining tools yang sedang dikembangkan, yaitu CMAR (Classication Based on Multiple Association Rules ) dan CSFP(Classication Based on Strong Frequent Pattern ). Selain analisis, di dalam tugas akhir juga dilakukan implementasi algoritma CMAR. Kedua algoritma tersebut meng- gunakan prinsip association rules dalam proses menghasilkan rules. Uji coba CMAR dilakukan terhadap satu data set kecil dan data set besar. Selain itu, uji coba juga di- lakukan dengan membandingkan hasil CSFP dan CMAR pada kedua data set tersebut. Algoritma CMAR pernah dikembangkan sebelumnya di Liverpool. Akan tetapi, algo- ritma tersebut hanya dapat diuji coba dengan menggunakan data yang telah disediakan oleh pembuat, sehingga algoritma ini tidak dapat diuji coba dengan menggunakan data set lain. Berdasarkan uji coba yang telah dilakukan, tingkat condence sangat menentukan banyak rules yang dihasilkan. Walaupun CSFP dan CMAR menggunakan prinsip asso- ciation rules, terdapat perbedaan pada rata-rata jumlah rules yang dihasilkan dan akurasi terhadap data set. Secara umum, algoritma CSFP lebih unggul dari CMAR dalam hal rules yang dihasilkan dan akurasi."
01/08/2013,Analisis forecasting untuk data penjualan menggunakan metode simple moving average dan single exponental smoothing: studi kasus PT Guna Kemas Indah,Venezia Ryanka Sutrisno,"Forecasting adalah salah satu metode data mining yang digunakan untuk meramalkan atau memperkirakan mengenai sesuatu yang belum terjadi. Pada dunia bisnis, forecasting biasa digunakan dalam menentukan keputusan bisnis untuk masa yang akan datang. Penelitian ini ingin menunjukkan implementasi forecasting untuk data penjualan organisasi yang bersifat irregular, dengan menggunakan dua metode forecasting yaitu simple moving average dan single exponential smoothing. Hasil forecasting kemudian divisualisasikan dalam bentuk dashboard. Penelitian ini menunjukkan secara umum metode single exponential smoothing memberikan prediksi yang lebih baik dibandingkan simple moving average dengan selisih nilai forecast error sebesar 18,62 untuk produk dan 20,46 untuk customer."
01/08/2013,"Penggunaan model dematel untuk menentukan faktor-faktor manfaat, peluang, biaya, dan risiko yang mempengaruhi adopsi teknologi cloud: studi kasus pada perusahaan jasa pertambangan skala menengah dan besar",Nathan,"Saat ini teknologi cloud adalah fenomena baru dalam bidang teknologi informasi. Banyak keuntungan yang ditawarkan oleh teknologi cloud meskipun teknologi cloud juga memiliki banyak kekurangan. Selain itu identifikasi tentang adopsi teknologi baru juga semakin penting. Untuk itu diperlukan sebuah model yang bisa mengidentifikasi faktor yang mempengaruhi adopsi teknologi cloud. Penelitian ini mengadopsi model DEMATEL untuk mengidentifikasi faktor yang mempengaruhi adopsi teknologi cloud dilihat dari perspektif manfaat, peluang, biaya dan risiko (BOCR). Studi kasus dilakukan di dua organisasi yang bergerak dalam bidang jasa pertambangan, yaitu di PT. Darma Henwa(PTDH) menggunakan metode focus group discussion dan di PT. United Tractors(UT) menggunakan model Delphi. Proses pengambilan data melibatkan para petinggi divisi TI sebagai pengambil keputusan. Kedua organisasi tersebut memiliki karakter berbeda untuk menggali keterkaitan antara karakteristik organisasi dengan faktor yang mempengaruhi adopsi teknologi cloud. Hasil penelitian menunjukkan bahwa penggunaan model DEMATEL dan BOCR berhasil mengidentifikasi faktor tersebut. Untuk kedua organisasi, fungsionalitas menjadi faktor pendorong sedangkan vendor lock-in menjadi faktor penghambat. Bagi UT sebagai organisasi besar, faktor satisfaction, economic, innovation, dan agility menjadi faktor pendorong dan faktor infrastructure cost dan data access menjadi faktor penghambat. Sedangkan bagi PTDH sebagai organisasi menengah, faktor managerial dan cost saving menjadi faktor pendorong dan faktor switching cost, permanence, dan internet latency menjadi faktor penghambat. Karakteristik internal organisasi yang paling mempengaruhi adopsi teknologi cloud adalah ketersediaan sumberdaya, diikuti dengan struktur organisasi, ketersediaan tenaga ahli TI, dan dukungan pimpinan organisasi."
